,pcstrip,Year,NUMBER_OF_PATIENTS,SHA,PCT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
66,B178LG,2015,1402.75,Q54,05L,402936.0,286530.0,E01009147,E02001886,A1,E12000005,E08000025,-101.0,1.3929341213063158,0.0,11.737871431171877,11.946688610946035,4.148730530266426,7.944373590196949,0.08755363804286202,0.2015771828371624,0.02155351506043246,25.721857673595753,,,,,,,,,,,0.0
67,B179DB,2015,24582.5,Q54,13P,402732.0,284568.0,E01009072,E02001901,A1,E12000005,E08000025,-47.0,4.870541056465232,0.039592951119584274,7.94780153965556,8.054227371797005,1.7998950334216597,6.021571842435404,0.41031152634274,0.16413314952157348,0.07500613346639079,21.3602729311032,,,,,,,,,,,0.0
68,B187AL,2015,14621.5,Q54,05L,404351.0,287754.0,E01009345,E02001879,A1,E12000005,E08000025,98.0,3.4969938637167615,0.03164086576527163,5.756284955072846,5.957766659990298,2.2229464872559204,4.548512080793539,0.47173757152223295,0.0,0.049581895764962906,16.729597529044025,,,,,,,,,,,0.0
69,B187BA,2015,3430.0,Q54,05L,405252.0,287211.0,E01009141,E02006898,A1,E12000005,E08000025,51.0,4.9444126597787745,0.06297106342873506,8.559866054953558,8.927523320987225,3.1610162141847966,6.351595980754904,0.3670241074034932,0.00542129426364131,0.07974414806943249,23.819964640801572,,,,,,,,,,,0.0
70,B191BP,2015,7911.833333333333,Q54,05L,405497.0,289254.0,E01009355,E02001865,A1,E12000005,E08000025,39.0,5.105437728957571,0.008569834173268396,8.521820201476121,8.719490840731027,3.4211979420843712,5.3897351439515235,0.7213608939885386,1.4928849260226806,0.02152512633343931,24.85867730990898,,,,,,,,,,,0.0
71,B191HL,2015,7310.75,Q54,05L,406200.0,289831.0,E01009047,E02001866,A1,E12000005,E08000025,45.0,2.5850160394898936,0.0015204693070441332,7.82543683568819,8.021504837269207,3.0805198847989153,6.331520338126367,0.3200218821936764,0.26039829958727234,0.031375858890273854,20.60050175077238,,,,,,,,,,,0.0
72,B191HS,2015,5128.75,Q54,05L,406174.0,289545.0,E01009047,E02001866,A1,E12000005,E08000025,45.0,2.543789997380013,0.008871150678824607,6.355271427598521,6.4799170313859555,3.763498068423543,5.5742535407480425,0.1710652961979973,0.0,0.01954398932457382,18.541395084814372,,,,,,,,,,,0.0
73,B191TT,2015,3103.25,Q54,05L,406181.0,289372.0,E01008905,E02001866,A1,E12000005,E08000025,63.0,1.8582217928501945,0.0,8.891529075587615,9.082364003750905,5.177015921016092,8.684776815596372,0.17348572751100946,0.0,0.00178826895565093,24.975864260724578,,,,,,,,,,,0.0
74,B192JA,2015,11142.5,Q54,05L,406580.0,288901.0,E01008909,E02001867,A1,E12000005,E08000025,-73.0,3.9738449197168393,0.06330992113285915,8.78459880924751,9.038089082668773,3.078486268502129,6.779050381329323,0.14628904410363727,0.29004192838126686,0.027288374622812958,23.36911154583483,,,,,,,,,,,0.0
75,B202BT,2015,1601.0,Q54,05L,405512.0,289727.0,E01009355,E02001865,A1,E12000005,E08000025,39.0,2.780742150410697,0.0030138637733574444,7.842063266963302,8.27713893982448,2.9045079097133297,5.755108586181906,0.5235360897065834,0.0,0.09989388991872443,20.244047539610353,,,,,,,,,,,0.0
76,B202ES,2015,17029.636363636364,Q54,05L,404970.0,290574.0,E01009265,E02001858,A1,E12000005,E08000025,-7.0,3.7908963146777053,0.02881566151079007,7.483040299402536,7.749290730949685,2.37810182507379,5.407634201605742,0.27616726769956185,0.007872864485508306,0.018058125215024343,19.638778866002784,,,,,,,,,,,0.0
77,B202HE,2015,2180.0,Q54,05L,404806.0,290153.0,E01009270,E02001860,A1,E12000005,E08000025,106.0,2.8706216720149555,0.05556679054613331,7.586693864496002,8.034146585598595,3.857806257502375,6.323012437766164,0.3571525737139556,0.002756643510861176,0.0,21.50106296065304,,,,,,,,,,,0.0
